cluster,n_docs,dominant,lift,words
13,472,internet,1.5,"new, comment, site, page, pleas"
0,94,religion,3.4,"world, believ, religion, effect, valley"
16,73,style,2.6,"make, know, want, realli, tri"
17,72,web,2.2,"use, classroom, inform, tabl, tutori"
8,70,history,6.2,"peopl, christian, word, look, war"
15,67,politics,5.3,"good, project, polit, littl, public"
10,62,language,6.7,"languag, program, python, process, rubi"
6,62,philosophy,5.1,"don, group, valu, object, member"
1,54,religion,2.4,"come, space, alway, countri, follow"
2,49,books,13.1,"book, john, read, seri, guy"
11,49,design,6.9,"design, web, graphic, art, product"
19,48,writing,6.6,"develop, releas, write, topic, articl"
7,45,programming,4.2,"code, sourc, compil, static, class"
12,45,education,6.7,"student, teach, educ, research, teacher"
5,42,java,5.1,"applic, run, sampl, collect, describ"
3,41,computer,3.0,"work, start, programm, summer, python"
14,39,java,9.3,"java, case, librari, run, standard"
4,30,reference,1.3,"type, text, document, write, undefin"
9,27,education,5.9,"learn, activ, pass, english, comic"
18,27,computer,4.5,"flash, instal, true, fals, boolean"
