class_name,support,capture,precision
internet,23,0.4782608695652174,0.023305084745762712
books,80,0.4375,0.7142857142857143
java,129,0.3953488372093023,0.6296296296296297
education,147,0.3129251700680272,0.6388888888888888
religion,79,0.3037974683544304,0.16216216216216217
history,17,0.29411764705882354,0.07142857142857142
language,71,0.28169014084507044,0.3225806451612903
politics,112,0.24107142857142858,0.40298507462686567
design,186,0.23118279569892472,0.8775510204081632
writing,51,0.21568627450980393,0.22916666666666666
philosophy,14,0.21428571428571427,0.04838709677419355
computer,36,0.16666666666666666,0.08823529411764706
style,38,0.13157894736842105,0.0684931506849315
programming,296,0.12837837837837837,0.8444444444444444
web,156,0.10897435897435898,0.2361111111111111
reference,195,0.02564102564102564,0.16666666666666666
culture,46,0.0,0.0
english,38,0.0,0.0
science,86,0.0,0.0
grammar,11,0.0,0.0
