cluster,n,classes,words
0,6543,"religion x1.5, politics x1.5","book, peopl, year, stori, student, think"
1,360,"education x1.8, history x1.7","frame, substr, parent, length, document, function"
2,81,"religion x3.9, politics x2.1","favorit, load, pend, comment, spam, video"
3,40,"style x3.5, history x3.4","alia, guest, photo, valu, pass, anytim"
4,37,"science x4.2, philosophy x3.1","rate, vote, word, talk, choos, view"
5,467,"style x1.2, design x1.2","script, document, type, text, com, write"
6,46,"style x2.3, science x2.1","navig, fals, shockwav, split, flash, true"
7,192,"philosophy x2.6, language x1.8","skin, disclaim, import, regist, main, gnu"
8,99,"style x2.6, java x2.0","net, tile, navig, blank, jump, po"
9,3798,"java x2.6, programming x2.3","file, code, java, applic, instal, server"
10,138,"politics x2.0, culture x1.4","navig, width, height, write, target, document"
11,433,"education x1.5, english x1.5","flash, game, player, adob, privaci, polici"
