algorithm,purity,silhouette,davies_bouldin,calinski,n_clusters,coverage,sil_w,db_w,ch_w,space
K-Means,0.521824423737126,0.0766278859273303,3.655865254040345,166.7651838865417,20,1.0,0.0766278859273303,3.655865254040345,166.7651838865417,SVD(100)
GMM,0.5063756743501716,0.0232605635545491,3.74346906772278,145.33602530162202,20,1.0,0.0232605635545491,3.74346906772278,145.33602530162202,SVD(100)
Bisecting K-Means,0.4878208272028772,0.0456752908387002,4.866356991886987,134.5970983333678,20,1.0,0.0456752908387002,4.866356991886987,134.5970983333678,SVD(100)
BIRCH,0.4857773418342325,0.0238690378896226,4.282736848519196,122.902377128699,20,1.0,0.0238690378896226,4.282736848519196,122.902377128699,SVD(100)
Agglomerative (ward),0.4740068661108386,0.0185335487586034,4.195409435242389,123.34834053867267,20,1.0,0.0185335487586034,4.195409435242389,123.34834053867267,SVD(100)
Spectral (k-NN),0.4609285597515122,0.0543688472962395,2.8680925153316097,126.33588210324272,20,1.0,0.0543688472962395,2.8680925153316097,126.33588210324272,SVD(100)
DBSCAN,0.2463625960438123,0.0227155666448586,1.762913572875342,22.370407754723608,8,0.6654405754454799,0.0151158597397248,2.6492426791004706,14.886177009253302,SVD(100)
K-Means,0.5068661108386464,0.0090895965695381,8.28674327278522,12.121036221882983,20,1.0,0.0090895965695381,8.28674327278522,12.121036221882983,raw TF-IDF
GMM,0.4861860389079614,0.0016550350701436,10.11909535135014,8.725899970594527,20,1.0,0.0016550350701436,10.11909535135014,8.725899970594527,raw TF-IDF
Spectral (k-NN),0.4798921039725355,0.0070102219469845,6.473631087824313,9.806700092160288,20,1.0,0.0070102219469845,6.473631087824313,9.806700092160288,raw TF-IDF
Bisecting K-Means,0.4645250940003269,-3.533545896061696e-05,11.54930611389383,8.396625490630354,20,1.0,-3.533545896061696e-05,11.54930611389383,8.396625490630354,raw TF-IDF
Agglomerative (ward),0.4543076671571031,-0.0083153052255511,8.676625003649551,9.525728173639708,20,1.0,-0.0083153052255511,8.676625003649551,9.525728173639708,raw TF-IDF
DBSCAN,0.0295896681379761,0.1755992472171783,2.32702660540469,17.866595730545264,13,0.0746280856629066,0.0131046356636655,31.181646758511476,1.3333498366836545,raw TF-IDF
