algorithm,k_best,silhouette,purity,space
K-Means,72,0.09495671594176,0.566,SVD(100)
Bisecting K-Means,5,0.0789737103696257,0.4295,SVD(100)
Agglomerative (ward),5,0.0442263503735926,0.4256,SVD(100)
GMM (diag),50,0.0625353816698332,0.5423,SVD(100)
Spectral (k-NN),12,0.0610828740316586,0.4331,SVD(100)
BIRCH,5,0.0352105306106485,0.4172,SVD(100)
NMF,2,0.099805908022457,0.3874,SVD(100)
K-Means,5,-0.0002516063104849,0.4344,raw TF-IDF
Bisecting K-Means,4,0.0095612974837422,0.4329,raw TF-IDF
Agglomerative (ward),2,0.0132008418440818,0.3874,raw TF-IDF
GMM (diag),4,0.0075339088216423,0.4258,raw TF-IDF
Spectral (k-NN),30,0.0082202348858118,0.5234,raw TF-IDF
NMF,20,0.0156480800360441,0.501,raw TF-IDF
