algorithm,param,value,purity,sil,db,ch,n_clusters,coverage,note,space
K-Means,init×n_init,k-means++/4,0.5218,0.0766,3.66,166.8,20,1.0,,SVD(100)
K-Means,init×n_init,k-means++/10,0.5218,0.0766,3.66,166.8,20,1.0,default,SVD(100)
K-Means,init×n_init,k-means++/20,0.5218,0.0766,3.66,166.8,20,1.0,,SVD(100)
K-Means,init×n_init,random/4,0.5265,0.0744,3.58,166.2,20,1.0,,SVD(100)
K-Means,init×n_init,random/10,0.5265,0.0744,3.58,166.2,20,1.0,,SVD(100)
K-Means,init×n_init,random/20,0.5265,0.0744,3.58,166.2,20,1.0,,SVD(100)
Bisecting K-Means,strategy,biggest_inertia,0.4878,0.0457,4.87,134.6,20,1.0,default,SVD(100)
Bisecting K-Means,strategy,largest_cluster,0.4992,0.0304,4.82,128.4,20,1.0,,SVD(100)
GMM,covariance(BIC),spherical BIC=-2652788,0.5082,0.0405,3.46,155.2,20,1.0,,SVD(100)
GMM,covariance(BIC),diag BIC=-2685062,0.5064,0.0233,3.74,145.3,20,1.0,selected by BIC,SVD(100)
GMM,covariance(BIC),tied BIC=-2651585,0.5051,0.0471,3.48,138.9,20,1.0,,SVD(100)
GMM,covariance(BIC),full BIC=-2250741,0.5137,0.0502,4.09,143.4,20,1.0,,SVD(100)
GMM (diag),n_init,1,0.5064,0.0233,3.74,145.3,20,1.0,default,SVD(100)
GMM (diag),n_init,10,0.5034,0.0325,3.63,151.7,20,1.0,,SVD(100)
NMF,init,nndsvda,0.501,0.0972,3.46,145.1,20,1.0,current choice,SVD(100)
NMF,init,nndsvd,0.5004,0.0983,3.46,145.4,20,1.0,,SVD(100)
NMF,init,random,0.4581,0.0747,3.46,142.3,20,1.0,,SVD(100)
DBSCAN,min_samples(eps rule),"ms=5, eps=0.8",0.2008,-0.1057,1.6,11.2,26,0.54,,SVD(100)
DBSCAN,min_samples(eps rule),"ms=10, eps=0.85",0.2464,0.0227,1.76,22.4,8,0.67,current choice,SVD(100)
DBSCAN,min_samples(eps rule),"ms=20, eps=0.85",0.2193,0.0122,1.75,37.2,8,0.6,,SVD(100)
DBSCAN,min_samples(eps rule),"ms=30, eps=0.85",0.1974,0.1192,1.57,58.5,5,0.54,,SVD(100)
Spectral (k-NN),n_neighbors,10,0.4411,-0.0021,2.22,82.8,20,1.0,,SVD(100)
Spectral (k-NN),n_neighbors,20,0.4719,0.0487,2.62,109.3,20,1.0,,SVD(100)
Spectral (k-NN),n_neighbors,30,0.4609,0.0544,2.87,126.3,20,1.0,current choice,SVD(100)
Spectral (k-NN),n_neighbors,50,0.4813,0.0558,2.82,125.9,20,1.0,,SVD(100)
BIRCH,branching_factor,25,0.4881,0.0181,4.36,122.6,20,1.0,,SVD(100)
BIRCH,branching_factor,50,0.4858,0.0239,4.28,122.9,20,1.0,default,SVD(100)
BIRCH,branching_factor,100,0.4917,0.0225,4.17,122.1,20,1.0,,SVD(100)
Agglomerative,linkage(cut quality),single,0.3855,-0.1318,,,20,1.0,cophenetic 0.31,SVD(100)
Agglomerative,linkage(cut quality),complete,0.4283,-0.0012,,,20,1.0,cophenetic 0.29,SVD(100)
Agglomerative,linkage(cut quality),average,0.3917,0.032,,,20,1.0,cophenetic 0.59,SVD(100)
Agglomerative,linkage(cut quality),weighted,0.4158,0.0179,,,20,1.0,cophenetic 0.47,SVD(100)
Agglomerative,linkage(cut quality),ward,0.4788,0.0165,,,20,1.0,current choice,SVD(100)
Agglomerative,linkage(cut quality),centroid,0.3852,-0.0993,,,20,1.0,cophenetic 0.33,SVD(100)
