cluster,n_docs,dominant,lift,words
9,1612,internet,1.4,"copyright, site, pleas, contact, photo"
5,972,philosophy,2.2,"peopl, think, thing, time, way"
11,888,java,4.7,"releas, java, develop, project, sourc"
4,811,style,3.6,"love, littl, look, thing, realli"
12,770,java,4.4,"object, class, method, code, implement"
1,717,style,2.9,"imag, style, color, element, font"
0,704,computer,2.7,"file, instal, window, server, run"
2,647,style,1.7,"comment, post, june, thank, great"
18,609,books,5.0,"book, publish, author, chapter, read"
15,585,religion,8.0,"god, human, religion, scienc, life"
17,553,politics,6.8,"polit, american, nation, state, govern"
14,510,style,1.4,"script, type, text, document, com"
6,434,education,4.2,"student, teacher, educ, school, teach"
8,430,style,1.6,"navig, document, function, write, target"
7,417,internet,2.3,"search, engin, site, keyword, web"
13,405,grammar,9.9,"english, word, languag, dictionari, translat"
3,363,grammar,1.7,"privaci, polici, term, contact, copyright"
19,362,education,1.8,"frame, substr, parent, length, document"
16,251,religion,1.8,"flash, player, adob, load, video"
10,194,philosophy,2.6,"skin, regist, import, disclaim, main"
