class_name,support,capture,precision
style,707,0.6138613861386139,0.1393258426966292
java,1171,0.6131511528608027,0.4330518697225573
religion,618,0.42071197411003236,0.31100478468899523
grammar,357,0.37815126050420167,0.17578125
politics,1222,0.3076923076923077,0.6799276672694394
internet,1748,0.261441647597254,0.2252341054706752
books,1541,0.2472420506164828,0.625615763546798
philosophy,867,0.21568627450980393,0.16037735849056603
education,2362,0.20237087214225233,0.6005025125628141
computer,1558,0.15596919127086006,0.34517045454545453
reference,4739,0.0,0.0
programming,3027,0.0,0.0
writing,1417,0.0,0.0
language,1487,0.0,0.0
culture,2173,0.0,0.0
design,3300,0.0,0.0
web,3253,0.0,0.0
english,1080,0.0,0.0
history,1339,0.0,0.0
science,1502,0.0,0.0
