pair,cls,support,confidence,lift,zhang,j_bits,order_bonus
word phrase,grammar,0.00114,0.25,8.6,0.221,0.0023,0.99
word phrase,english,0.00262,0.571,6.5,0.484,0.0049,1.07
applic develop,java,0.00245,0.6,6.3,0.506,0.0046,1.07
applic use,java,0.00409,0.581,6.1,0.488,0.0074,1.37
use word,grammar,0.00106,0.171,5.9,0.142,0.0015,1.09
unit test,java,0.00237,0.527,5.5,0.433,0.0038,1.05
improv articl,philosophy,0.00163,0.377,5.3,0.307,0.0024,1.11
don use,grammar,0.0009,0.149,5.1,0.12,0.0011,2.11
hard drive,computer,0.00351,0.642,5.0,0.516,0.0057,0.98
object orient,java,0.00409,0.481,5.0,0.387,0.006,1.0
server side,java,0.00311,0.469,4.9,0.375,0.0044,1.01
word phrase,language,0.0027,0.589,4.8,0.469,0.0041,1.05
human be,philosophy,0.00155,0.333,4.7,0.263,0.002,1.05
commonli use,grammar,0.00057,0.132,4.5,0.103,0.0006,1.04
hide mark,religion,0.00123,0.224,4.4,0.174,0.0014,1.0
ago show,religion,0.00123,0.221,4.4,0.17,0.0014,1.03
mark spam,religion,0.00123,0.221,4.4,0.17,0.0014,1.0
spam repli,religion,0.00123,0.221,4.4,0.17,0.0014,1.03
font size,style,0.00131,0.25,4.3,0.192,0.0015,1.17
favorit want,religion,0.00123,0.217,4.3,0.167,0.0014,1.09
event latest,religion,0.00123,0.214,4.2,0.164,0.0013,1.07
want flag,religion,0.00123,0.214,4.2,0.164,0.0013,1.04
function comment,religion,0.00139,0.212,4.2,0.162,0.0015,1.29
favorit add,religion,0.00131,0.211,4.2,0.16,0.0014,1.25
human be,religion,0.00098,0.211,4.2,0.16,0.001,1.07
remov favorit,religion,0.00131,0.211,4.2,0.16,0.0014,1.0
unit state,politics,0.00621,0.413,4.1,0.315,0.0073,1.0
best practic,java,0.00172,0.396,4.1,0.301,0.002,1.08
close video,religion,0.00131,0.208,4.1,0.157,0.0014,1.04
com event,religion,0.00123,0.208,4.1,0.158,0.0013,1.13
comment enter,religion,0.00131,0.208,4.1,0.157,0.0014,1.08
comment pend,religion,0.00131,0.208,4.1,0.157,0.0014,1.0
enter short,religion,0.00131,0.208,4.1,0.157,0.0014,1.06
imag correct,religion,0.00131,0.208,4.1,0.157,0.0014,1.09
letter imag,religion,0.00131,0.208,4.1,0.157,0.0014,1.08
pend approv,religion,0.00131,0.208,4.1,0.157,0.0014,1.0
pend comment,religion,0.00131,0.208,4.1,0.157,0.0014,1.0
respons letter,religion,0.00131,0.208,4.1,0.157,0.0014,0.95
shorter comment,religion,0.00131,0.208,4.1,0.157,0.0014,1.0
again comment,religion,0.00131,0.205,4.1,0.155,0.0013,1.24
click confirm,religion,0.00131,0.205,4.1,0.155,0.0013,1.05
comment tri,religion,0.00131,0.205,4.1,0.155,0.0013,1.13
correct pleas,religion,0.00131,0.205,4.1,0.155,0.0013,1.26
enter comment,religion,0.00139,0.205,4.1,0.155,0.0014,1.06
flag video,religion,0.00131,0.205,4.1,0.155,0.0013,1.0
form comment,religion,0.00131,0.205,4.1,0.155,0.0013,1.32
load want,religion,0.00123,0.205,4.1,0.155,0.0013,1.14
object comment,religion,0.00131,0.205,4.1,0.155,0.0013,1.1
object empti,religion,0.00131,0.205,4.1,0.155,0.0013,1.01
return comment,religion,0.00131,0.205,4.1,0.155,0.0013,1.07
video remov,religion,0.00131,0.205,4.1,0.155,0.0013,1.05
latest flash,religion,0.00147,0.205,4.0,0.154,0.0015,1.21
empti enter,religion,0.00131,0.203,4.0,0.152,0.0013,0.97
hello turn,religion,0.00131,0.203,4.0,0.152,0.0013,1.0
save close,religion,0.00131,0.203,4.0,0.152,0.0013,1.03
video ad,religion,0.00131,0.203,4.0,0.152,0.0013,1.11
ad favorit,religion,0.00131,0.2,4.0,0.15,0.0013,1.06
confirm email,religion,0.00131,0.2,4.0,0.15,0.0013,1.14
