cluster,n,knn_name,knn_lift,inherited_name,inherited_lift,words
7,61531,java,1.9,java,1.4,"click, file, support, list, version"
6,34816,politics,2.5,religion,1.8,"comput, scienc, life, state, live"
16,26440,language,1.7,philosophy,1.3,"know, think, way, don, design"
3,15081,programming,1.2,java,1.5,"set, valu, number, object, follow"
1,11701,education,2.3,java,1.6,"use, term, tool, method, instead"
13,9353,writing,3.2,english,1.5,"document, com, write, script, type"
15,6668,(mixed),,style,1.4,"post, comment, june, april, jun"
17,6266,web,2.8,web,1.7,"look, web, site, applic, forward"
2,5284,culture,5.0,culture,1.1,"new, york, featur, ad, creat"
9,5221,writing,2.9,web,1.2,"work, fine, licens, great, hard"
4,5096,style,2.2,style,1.2,"make, sure, easier, sens, easi"
5,4844,reference,2.9,web,1.7,"page, web, link, home, pleas"
19,4751,books,1.3,philosophy,1.3,"time, spend, long, wast, real"
12,4255,design,1.5,java,1.4,"need, don, know, instal, help"
14,4028,web,2.1,english,1.5,"free, feel, download, encyclopedia, licens"
11,3812,culture,1.7,java,1.3,"chang, differ, way, measur, climat"
10,3748,books,5.3,books,1.8,"read, book, articl, continu, stori"
8,3679,books,14.2,books,4.7,"book, author, cover, publish, buy"
18,3619,philosophy,4.2,philosophy,1.8,"peopl, mani, think, know, don"
0,3095,philosophy,10.1,philosophy,1.7,"thing, good, happen, think, sort"
