k,sil,db,ch,inertia
2,0.0198,4.228,653.7,18324.0
3,0.038,3.814,565.8,17909.5
4,0.0365,5.045,446.9,17733.9
5,0.0438,4.888,388.0,17560.1
6,0.0582,4.419,369.3,17323.3
7,0.0507,4.876,321.3,17258.8
8,0.0576,5.034,315.2,17042.4
9,0.0676,3.653,307.4,16850.5
10,0.0819,4.251,290.8,16732.6
11,0.0831,4.18,291.4,16515.6
12,0.0853,3.44,279.3,16402.3
13,0.0961,3.974,275.5,16236.9
14,0.1044,3.302,279.8,16008.9
15,0.1072,3.639,273.5,15880.7
16,0.1143,3.548,272.2,15713.1
17,0.1213,3.643,259.2,15670.6
18,0.1228,3.242,262.2,15471.4
19,0.1261,3.252,256.1,15375.8
20,0.1164,3.387,260.5,15166.0
21,0.1326,3.492,252.2,15108.2
22,0.1401,3.219,249.0,14998.0
23,0.1231,3.166,243.3,14924.5
24,0.1482,3.255,243.7,14777.1
25,0.1535,3.266,247.5,14585.0
26,0.1434,3.065,246.6,14460.6
27,0.164,3.095,247.3,14314.5
28,0.1655,2.865,246.4,14194.3
29,0.1746,3.015,245.0,14085.3
30,0.1767,2.91,242.8,13990.2
31,0.1641,2.991,239.7,13912.5
32,0.1678,2.986,238.1,13815.3
33,0.1699,3.0,236.3,13725.5
34,0.1761,2.873,238.2,13578.0
35,0.1773,2.843,237.2,13479.0
36,0.1801,2.824,234.8,13404.7
37,0.1855,2.891,234.3,13302.3
38,0.1881,2.875,233.5,13207.3
39,0.1907,2.794,237.3,13034.2
40,0.1951,2.806,232.7,13008.1
