k,sil,db,ch,inertia
2,0.012865646584056208,4.9697182935234245,500.0169208674685,18461.4
3,0.01193490748986021,4.100982509832238,315.5909076791113,18344.0
4,0.017345448600283378,7.045336461925883,260.92158175679424,18210.2
5,0.021260786423913675,6.603779231450929,229.1530658326622,18093.6
6,0.022820380333167335,6.085627392526322,206.66999948776967,17993.1
7,0.025746067629500415,5.620361571472885,196.6254668258538,17868.6
8,0.02987081393478845,5.654893416761688,186.64653253038566,17762.2
9,0.03223436983787008,5.249708134008497,179.10206717649368,17657.5
10,0.034826071835746146,5.016459508792432,172.3804047245163,17560.2
11,0.03576551234072102,4.699700650359372,167.41777688678636,17460.6
12,0.03699638032352148,4.390421767624187,165.11254575531774,17346.8
13,0.019812161705847105,4.495379277101853,161.66064300576926,17248.9
14,0.024526871642728838,4.467850275496236,160.73365291583966,17131.9
15,0.030447979086907776,4.394006575525378,161.35439741261047,17001.3
16,0.031697805515085845,4.242830493174516,156.87701233495378,16929.5
17,0.0334815470059478,4.1028434787109935,153.73346251154607,16849.1
18,0.036180487661630005,3.988773734280146,151.77613321731474,16759.0
19,0.03800527168306809,3.8646654702529095,150.25902989812022,16667.0
20,0.040554512164849,3.774554358004611,149.5223201170646,16567.3
25,0.04403797592675711,3.465533535959998,151.66005627916314,16006.4
30,0.061946825408538554,3.2387946984215636,154.7463630894702,15450.9
40,0.09098168714615164,2.858586695440998,157.03555068931504,14480.1
50,0.12010058217225528,2.6574550338932204,163.17751500217955,13508.9
60,0.15380185319272624,2.5057689458512002,175.1785788712484,12463.0
