k,sil,db,ch,inertia
2,0.020607711916891532,4.259611241975744,653.5642115277884,18324.2
3,0.03989402213441845,3.873189177712593,563.7046259611647,17913.1
4,0.04613322987594546,6.581471773465405,437.0997813356409,17758.5
5,0.05004596513165948,6.314673194225424,363.9249808246396,17638.9
6,0.05715414316304961,6.088031386976564,330.037874095286,17480.3
7,0.060821868471816865,5.973797276794592,297.1452379344815,17373.7
8,0.07033246282494335,5.501544116111186,295.19360798210715,17150.4
9,0.07296250766733571,5.327224055636462,274.1593128222023,17052.2
10,0.07625932722653929,5.09583481082633,256.73125949749317,16962.4
11,0.044551118558109656,5.11740902054684,247.41800893491137,16838.8
12,0.04888132255588648,4.96166416910719,241.03602729213253,16706.9
13,0.05572203055213117,4.815703957943534,238.4060511837173,16553.6
14,0.05843366458132371,4.758993782980353,228.65288862000196,16473.0
15,0.06199284738322542,4.659331891111692,224.28459184392878,16353.6
16,0.05210417061490263,4.595198179971083,216.84717574495158,16274.2
17,0.05616883380676984,4.516593346105241,211.4869664994049,16182.7
18,0.05914449994745445,4.465086991135929,207.37979839966755,16085.1
19,0.06311091551760692,4.410273665694376,203.0855917983512,15996.5
20,0.06651086167710168,4.366364055551832,199.35763684358594,15907.3
25,0.07675951135228368,3.9485745906797933,185.4076303307783,15475.6
30,0.06500324499295297,3.6763191251045115,168.7190328374329,15199.1
40,0.06341238600860578,3.530490638404197,153.86426377426162,14549.0
50,0.07509391375008474,3.2748349518055178,146.7720222586199,13909.0
60,0.08024060303308217,3.187228541453101,138.79247709757843,13414.2
