k,sil,db,ch,inertia
2,0.0198312558749664,4.227867255079922,653.6955724013268,18324.0
3,0.038090204710793406,3.8183726027972056,565.8048860458549,17909.5
4,0.0421578922808364,5.901002127315678,448.76892766062684,17729.3
5,0.05653532245831739,3.682255523971527,414.553291862127,17473.9
6,0.05821321316291223,4.418642998000487,369.2821800800521,17323.3
7,0.059684660031111,3.9531961669048696,348.080015294342,17133.3
8,0.07587907490864168,4.407149439013674,335.1019337927473,16935.9
9,0.08107751640310634,4.432686338494424,315.7411879127963,16800.3
10,0.08413725773851151,4.1613278012386825,298.99180280704866,16677.9
11,0.06836991830295752,3.4916544314294,302.22836230144424,16437.7
12,0.09234021976010741,3.908874642250138,293.3784059400766,16292.5
13,0.1011616416135772,3.8151477645835974,293.0332874181226,16091.9
14,0.10435077866300321,3.8960957273488477,281.456055624647,15994.8
15,0.10716840413556267,3.6388795398551204,273.4673971436292,15880.7
16,0.11814050140473842,3.5503250048125157,279.42164354943833,15642.3
17,0.11444208254818364,3.683708247964395,262.14015480212765,15640.3
18,0.1278594798250095,3.2996466388323813,267.9526779694575,15410.1
19,0.11246124456042075,3.676016376270083,262.82020632687045,15300.4
20,0.11639488787546427,3.3871446075066665,260.5029926762431,15166.0
25,0.14226735603876656,3.092882130046295,251.51579394248358,14531.6
30,0.17670376350490322,2.90995232059707,242.80382883666533,13990.2
40,0.20676782302299535,2.7240960149987954,236.97613767483418,12934.1
50,0.21769732092620717,2.5828843964351136,230.92447464958414,12074.5
60,0.2472957752411785,2.406259143021697,237.11318195186027,11120.8
