k,sil,db,ch,inertia
2,0.0539,4.366,538.7,9499.5
3,0.0553,4.749,437.7,9255.4
4,0.0673,4.142,377.8,9076.6
5,0.0376,4.459,326.1,8961.9
6,0.0492,4.004,311.7,8796.7
7,0.0479,4.11,284.6,8702.5
8,0.0512,4.405,263.7,8617.0
9,0.0487,4.038,244.9,8547.8
10,0.0537,4.004,232.8,8466.9
11,0.0547,4.026,223.4,8385.1
12,0.064,3.877,213.5,8319.0
13,0.0648,3.852,206.4,8246.8
14,0.0604,3.913,195.7,8208.8
15,0.0633,3.891,188.0,8160.0
16,0.0653,3.914,182.5,8102.7
17,0.0726,3.791,178.8,8036.0
18,0.0657,3.55,174.3,7981.7
19,0.075,3.757,169.4,7936.2
20,0.0766,3.656,166.8,7874.9
