k,sil,db,ch,inertia
2,0.02111995558077025,4.838171576334304,369.96464102316673,9626.7
3,0.03229408601956815,3.907932722050942,307.59933292439587,9442.9
4,0.03978321085271638,4.979654564964404,278.4087150963742,9283.8
5,0.04422635037359266,4.692566351813769,254.37863246459958,9156.0
6,0.04359733706939989,4.265760155294697,230.94838486247295,9062.1
7,0.011985499063455748,4.379401037985542,209.9681751206041,8991.4
8,0.01595728945479449,4.283277755795318,195.11399989590097,8921.2
9,0.015532793731174483,4.574117972955103,183.81907895916012,8852.9
10,0.020998144281479364,4.606214149215964,175.16617717615446,8784.9
11,0.02257596176564214,4.285793317444421,167.44302848646103,8722.9
12,0.026661062481441136,4.237490947808937,159.81046954204695,8670.7
13,0.028369333195529953,4.19704694611009,153.46152034479888,8619.1
14,0.0322362590984524,4.37123219518892,147.7424307961112,8570.7
15,0.021259829467111704,4.289953071902636,142.67952280659992,8524.3
16,0.01892915018503902,4.388717723102851,138.0717216136445,8480.3
17,0.021916440174557957,4.412474561554941,133.8777833368876,8438.3
18,0.02358409563911894,4.274925201852183,130.18018113526873,8396.7
19,0.01818063216264138,4.290030718011354,126.5976157878442,8358.5
20,0.018533548758603403,4.195409435242389,123.34834053867267,8321.2
25,0.020060794908873077,4.003973663247163,110.05165497559774,8153.9
30,0.019777677967074535,3.9288323374412357,99.79306165502415,8016.8
40,0.025013829300968852,3.8366672077777353,86.18200909359267,7774.8
50,0.028295966224846706,3.8048403004778417,76.51001638086649,7584.2
60,0.032002890684228236,3.6830902775117287,69.25288775655544,7425.6
