k,sil,db,ch,inertia
2,0.013519616153948697,4.604802909136976,365.38600715355403,9630.2
3,0.020438135489374468,6.048839546531188,286.33229739515656,9474.2
4,0.03162137187095889,5.12926460659776,269.1277802023544,9303.6
5,0.035210530610648584,4.761785885885109,246.53094348964945,9177.7
6,0.034971379387477755,4.419219677759699,227.82102802380635,9072.7
7,0.028342509949939265,4.668831682309175,208.0757079407425,8999.0
8,0.03210029017449546,4.7873502749266805,193.90347004554565,8926.8
9,0.0066781410531053815,4.850731609050714,182.91980860405405,8857.6
10,0.013052791398564722,4.80569892351522,176.0965019833092,8779.5
11,0.017026724257673428,4.770225133810542,167.13983025994864,8724.8
12,0.019628784248093216,4.617593807442027,159.54385067149676,8672.5
13,0.019570997504561493,4.425473637528677,152.20186869217505,8628.3
14,0.022655394451993875,4.469094942371866,146.23962721628962,8582.6
15,0.019541326365921888,4.457036733925303,140.78695165644444,8540.2
16,0.022793062842077997,4.580823128741589,135.85422927826673,8500.1
17,0.025205485681130155,4.546799404190132,131.52729100658416,8460.5
18,0.028072735024515478,4.456767444569953,128.11643291539946,8417.1
19,0.020167336087062438,4.395418090944579,124.5271886973738,8380.1
20,0.023869037889622666,4.282736848519196,122.90237712869899,8326.0
25,0.02486991703887564,4.169543209455921,108.50120943490582,8174.3
30,0.023175341257921887,4.1065729309830115,98.92387620253437,8030.2
40,0.01823320193032752,3.9697171543673284,84.71865795896785,7803.4
50,0.024150765031564325,3.8337707515735997,75.04103774452791,7618.6
60,0.03102905888789252,3.7857095897443904,67.42804641860046,7475.1
