k,sil,db,ch,inertia
2,0.054594855356836204,4.388079984975773,538.4618113337182,9499.6
3,0.06039432553199039,4.861643139874907,427.2860569994864,9270.1
4,0.07340666528796717,4.721977111201895,363.9164901712195,9105.0
5,0.07897371036962572,4.760590330710976,301.02172897103446,9028.8
6,0.08215427490536514,5.429434228656561,254.8485737939756,8981.9
7,0.04551482205568956,5.361466786440647,242.18698012928039,8864.3
8,0.0428076183777167,5.319581357045754,227.30917311199514,8775.7
9,0.032981373083150904,5.224057545015899,212.02393998467042,8709.4
10,0.035629999046538005,5.164456657655987,194.4726650367883,8675.6
11,0.035647210345092994,5.134821563541531,183.36097267624024,8624.1
12,0.038375083582353496,5.0626221110420735,172.8853274325235,8582.4
13,0.03537392090244125,4.990384399872401,165.7133557290555,8529.9
14,0.03761447037881211,4.979306813304101,156.68871544551556,8500.8
15,0.03690055265323732,4.894615981263766,150.97066683133386,8455.3
16,0.03724792758289401,4.89629421205974,144.24988341181756,8425.7
17,0.031217965479752408,4.979095750669226,137.75310634330424,8402.0
18,0.04301081683317099,4.792341758804568,145.26639937586512,8250.0
19,0.04417452585413073,4.779674540755053,139.91275377971806,8222.5
20,0.045675290838700255,4.866356991886987,134.5970983333678,8200.8
25,0.038893583970591485,4.762958793306577,115.66009231803793,8080.6
30,0.041045842957828434,4.642779357611842,106.47244471721964,7915.2
40,0.04603986141910059,4.552224339772612,88.29271755463496,7733.9
50,0.035803944560516,4.509896284961914,75.89406110370237,7598.6
60,0.03500516696343347,4.39200529806378,68.04239118692746,7458.4
