k,sil,db,ch,inertia
2,0.016161191784834047,3.7630714123340283,459.85626749884887,9558.5
3,0.006877866179141078,5.5381759259929915,336.7691471220791,9400.2
4,0.012540357161969348,5.786273365046206,241.69016646350354,9362.7
5,-0.015365474820398501,5.262620598957833,214.97054836210648,9266.3
6,0.0026143787060428953,4.448958353666598,227.7513153979848,9072.9
7,0.006254628384323679,4.15343368115735,214.12276818836364,8974.8
8,-0.001305400778504701,4.266611479718742,202.24200222668225,8888.6
9,-0.009142454286114836,4.177288169226908,181.3081022144795,8865.9
10,-0.00350366692207493,4.16834135321772,184.79193185426425,8730.1
11,-0.004848738179740552,4.146696552136766,168.47168930304767,8716.4
12,0.00037313005630175915,4.076057068673843,166.6686579301492,8624.2
13,-0.003841942189254391,4.752867311765892,157.12743789024043,8592.2
14,-0.002464592846119658,4.434941121437274,159.30015071826136,8480.6
15,0.004902639203725206,3.9669811893474924,157.2225700523701,8403.9
16,0.004136025698552362,4.189924256219321,150.9740103128109,8367.0
17,0.007894045052977262,3.6761121987505887,149.6797317800356,8292.3
18,0.010916556054996002,3.493218294429776,148.98616431849348,8214.7
19,0.02362115603087736,3.7301630543827464,150.8530251814127,8114.1
20,0.02326056355454913,3.74346906772278,145.33602530162202,8089.0
25,0.04136354613758749,3.589286758168321,133.93166256091766,7850.9
30,0.043268491529025295,3.5899738817296063,122.67612262885507,7679.2
40,0.04467672145282484,3.430205163650516,103.51318941274343,7451.0
50,0.06253538166983327,3.401639922125661,94.31087221078158,7190.5
60,0.05523583311535593,3.3059018035958894,85.02738267552735,7023.6
