k,sil,db,ch,inertia
2,0.09980590802245703,4.052642686572907,302.31713560662496,9678.6
3,0.07894718174921982,4.5882636171457,361.5440341476983,9364.2
4,0.08813469418975044,4.101097164881692,318.54562374893237,9199.0
5,0.09084659644435514,4.068225824819743,270.2900939106969,9112.2
6,0.09107204796779948,4.149602948258916,278.3398570151497,8904.4
7,0.09413512659888153,4.050368942005776,255.50438782870052,8812.9
8,0.09134645043329712,4.0278251065140465,240.0559033173308,8719.4
9,0.0870820050912839,4.151884051965412,225.87850705243943,8640.6
10,0.08848180553449388,4.134664806032393,206.57140899069918,8608.6
11,0.08864766754522402,4.051838209712723,192.68283815704854,8567.3
12,0.09071778731766418,3.923944907538931,188.26490821534344,8480.8
13,0.09104275893784826,3.911705075760424,180.0406034285308,8427.9
14,0.09203717543271206,3.8292152213962773,172.32817361919257,8381.3
15,0.09476213305254506,3.758890032280395,166.1569741060037,8331.7
16,0.09528842337952736,3.7007315731080572,161.30923011948838,8278.4
17,0.08190001345010113,3.6770248930696745,158.92788496103952,8209.2
18,0.08140168111419452,3.603789768353595,154.06770444856798,8166.8
19,0.09764492477453032,3.4878816670547748,150.0497879565432,8122.0
20,0.09722602826681948,3.4598082579205602,145.0954358949937,8091.5
25,0.0718441782984718,3.4031334733433756,130.14858111647854,7897.4
30,0.0671827678125667,3.2221636311391078,115.48259961561928,7782.2
40,0.05299304646902531,3.134947818447622,97.14761772859733,7566.8
50,0.03998563482175683,3.0576735544823985,80.87579552251587,7483.7
60,0.003457544724462739,3.1832401436930824,63.962852564745184,7570.9
