k,sil,db,ch,inertia
5,0.04441916775219378,1.7420441803718554,127.7474853061491,9520.0
6,0.05026590253109465,2.1852424214847073,145.538017117849,9360.8
7,0.04891264004154588,2.796576095470893,167.25292176494852,9165.6
8,0.05777942518524177,2.730827033721063,174.11328808726762,9018.8
9,0.05687075511066263,2.6077368165841337,157.08567606835493,8993.3
10,0.05651444844600364,2.504967706944736,145.450910413712,8958.5
11,0.05991489893108995,2.6941717133459617,140.30456055904486,8896.6
12,0.06108287403165864,2.693837187749652,131.46566506756866,8868.5
13,0.05851407256490955,2.723397892635752,127.62576322060958,8813.4
14,0.058302721723238936,2.518531351065642,117.3374036350255,8817.2
15,0.052311174183252575,2.666101947657708,115.12636355089928,8762.1
20,0.0543688472962395,2.8680925153316097,126.33588210324272,8288.8
30,0.04885132024679824,2.813759768838643,107.65989646901264,7897.4
40,0.05162559310608922,2.8403174794607793,91.99319543389599,7663.2
