antecedents,consequents,support,confidence,lift,leverage,conviction,score
"frozenset({'class', 'object'})",frozenset({'CLASS_PROGRAMMING'}),0.003269576589831617,0.9523809523809524,3.849167020623909,0.002420152137134926,15.80407062285436,0.903680101141536
"frozenset({'teacher', 'student'})",frozenset({'CLASS_EDUCATION'}),0.003351316004577407,0.9318181818181818,4.826360557308906,0.0026569385404854907,11.834995368099824,0.6851344141340626
"frozenset({'class', 'method'})",frozenset({'CLASS_PROGRAMMING'}),0.004086970737289521,0.8928571428571428,3.608594081834914,0.0029544048003605993,7.024031387935258,0.4490422524591902
"frozenset({'method', 'object'})",frozenset({'CLASS_PROGRAMMING'}),0.003269576589831617,0.8888888888888888,3.592555885915648,0.002359478961942305,6.7731731240804285,0.3872914719178005
"frozenset({'rubi', 'rail'})",frozenset({'CLASS_PROGRAMMING'}),0.00384175249305215,0.8392857142857143,3.3920784369248196,0.0027091865561232283,4.682687591956842,0.29024174431670346
"frozenset({'length', 'frame'})",frozenset({'CLASS_EDUCATION'}),0.005149583128984796,0.4701492537313432,2.4351422396906237,0.0030348881247048683,1.5229411453188642,0.10928716416242121
"frozenset({'parent', 'length'})",frozenset({'CLASS_EDUCATION'}),0.005067843714239006,0.4661654135338346,2.414507903968219,0.0029689300159611676,1.511575912891112,0.10760725909136679
"frozenset({'polici', 'privaci'})",frozenset({'CLASS_REFERENCE'}),0.00384175249305215,0.4476190476190476,1.1555542157778915,0.0005171551348347567,1.1090840675787657,0.06874310703981988
"frozenset({'substr', 'length'})",frozenset({'CLASS_EDUCATION'}),0.005394801373222168,0.4285714285714286,2.219789524615943,0.0029644802489004604,1.4121301291482755,0.10371998586314263
"frozenset({'parent', 'document'})",frozenset({'CLASS_EDUCATION'}),0.003106097760340036,0.4175824175824176,2.1628718444975856,0.001669998914149936,1.3854861644473646,0.0772164361796554
"frozenset({'substr', 'parent'})",frozenset({'CLASS_EDUCATION'}),0.008664377963053785,0.3984962406015038,2.0640148211341227,0.004466550566498108,1.3415236226908618,0.12487256109752592
"frozenset({'parent', 'length'})",frozenset({'CLASS_REFERENCE'}),0.004332188981526893,0.3984962406015038,1.0287408751886047,0.00012103232778486097,1.0185088687265,0.06703760832128842
"frozenset({'parent', 'frame'})",frozenset({'CLASS_EDUCATION'}),0.008664377963053785,0.3970037453183521,2.056284428545605,0.004450769260496019,1.338203174738561,0.12456348503447222
"frozenset({'length', 'frame'})",frozenset({'CLASS_REFERENCE'}),0.004332188981526893,0.3955223880597015,1.0210637044782418,8.936949580183855e-05,1.0134981038474036,0.06670780295221496
"frozenset({'length', 'document'})",frozenset({'CLASS_EDUCATION'}),0.0031878371750858263,0.393939393939394,2.040412593333847,0.0016254878808790142,1.3314369789112313,0.0751741766522955
