cluster,n_docs,dominant,lift,words
19,713,politics,1.6,"june, skin, main, video, come"
2,103,design,3.8,"use, design, web, graphic, easi"
11,58,java,9.0,"java, applic, run, develop, web"
3,53,internet,6.0,"site, web, creat, servic, advertis"
12,45,education,4.0,"learn, free, encyclopedia, activ, english"
9,45,computer,5.4,"look, peopl, research, degre, comput"
13,42,books,13.5,"book, read, john, articl, guy"
5,40,language,8.3,"languag, program, script, process, gener"
0,39,programming,4.5,"code, sourc, static, librari, class"
15,38,programming,2.6,"program, includ, answer, cours, quit"
16,37,style,8.4,"don, follow, fashion, realli, core"
8,37,education,1.6,"work, student, python, summer, start"
7,36,culture,3.5,"new, comment, form, object, featur"
1,33,reference,3.0,"page, web, section, user, home"
18,30,science,2.8,"project, littl, start, hope, icon"
4,29,politics,2.7,"group, thank, join, american, today"
14,27,reference,2.0,"pleas, contact, inform, page, improv"
17,24,religion,2.3,"great, point, anoth, april, mean"
6,20,(mixed),-,"text, type, document, write, undefin"
10,19,web,1.5,"flash, instal, true, fals, boolean"
