class_name,support,capture,precision
politics,112,0.8214285714285714,0.12398921832884097
books,80,0.3875,0.7380952380952381
java,129,0.35658914728682173,0.7931034482758621
design,186,0.26344086021505375,0.47572815533980584
language,71,0.22535211267605634,0.4
internet,23,0.21739130434782608,0.09433962264150944
style,38,0.21052631578947367,0.21621621621621623
programming,296,0.1858108108108108,0.5670103092783505
computer,36,0.16666666666666666,0.13333333333333333
education,147,0.16326530612244897,0.2926829268292683
reference,195,0.10256410256410256,0.3333333333333333
culture,46,0.08695652173913043,0.1111111111111111
science,86,0.05813953488372093,0.16666666666666666
religion,79,0.0379746835443038,0.125
web,156,0.019230769230769232,0.15789473684210525
writing,51,0.0,0.0
history,17,0.0,0.0
english,38,0.0,0.0
philosophy,14,0.0,0.0
grammar,11,0.0,0.0
