class_name,support,capture,precision
style,707,0.5756718528995757,0.17311782220331773
religion,618,0.5097087378640777,0.25651465798045603
java,1171,0.4568744662681469,0.4469507101086048
grammar,357,0.2773109243697479,0.264
science,1502,0.25166444740346205,0.17597765363128492
books,1541,0.24334847501622323,0.635593220338983
philosophy,867,0.22029988465974626,0.16131756756756757
education,2362,0.18585944115156647,0.646539027982327
internet,1748,0.15789473684210525,0.3157894736842105
programming,3027,0.15725140403039312,0.6017699115044248
computer,1558,0.12901155327342748,0.3116279069767442
politics,1222,0.030278232405891982,0.21511627906976744
reference,4739,0.0,0.0
writing,1417,0.0,0.0
culture,2173,0.0,0.0
design,3300,0.0,0.0
web,3253,0.0,0.0
language,1487,0.0,0.0
history,1339,0.0,0.0
english,1080,0.0,0.0
