k,silhouette,db,ch,inertia
2,0.0056,12.162,28.1,11766.8
3,0.0081,10.168,28.1,11702.1
4,0.0084,11.394,24.5,11664.3
5,0.0104,9.878,24.5,11608.6
6,0.0023,8.562,23.7,11561.1
7,-0.0008,8.537,20.2,11553.9
8,0.0026,9.369,19.7,11518.9
9,0.003,8.727,18.8,11489.8
10,0.0033,8.852,17.6,11472.6
11,0.0043,9.077,16.6,11459.5
12,0.0044,8.864,15.6,11445.3
13,0.0047,8.514,14.9,11430.7
14,0.0055,8.604,14.4,11416.8
15,0.0064,8.784,13.8,11401.5
16,0.0074,8.415,13.5,11388.8
17,0.0071,8.708,12.8,11381.1
18,0.0082,8.537,12.6,11363.8
19,0.0084,8.245,12.3,11352.4
20,0.0088,8.218,11.9,11345.2
21,0.0085,8.159,11.3,11339.9
22,0.0094,8.377,11.1,11329.4
23,0.0105,8.135,11.1,11310.4
24,0.0086,8.128,10.5,11311.5
25,0.0091,8.11,10.1,11307.0
26,0.0113,7.965,10.2,11288.8
27,0.0108,8.478,9.9,11285.5
28,0.0108,8.117,9.7,11276.4
29,0.0116,8.017,9.5,11268.6
30,0.0118,8.282,9.3,11264.6
31,0.0118,8.285,9.0,11263.6
32,0.0117,7.868,8.9,11248.5
33,0.0121,7.795,8.8,11242.1
34,0.0127,7.895,8.7,11229.0
35,0.0125,7.941,8.5,11230.0
36,0.0137,7.442,8.5,11211.7
37,0.0116,7.815,8.2,11217.7
38,0.014,7.594,8.1,11205.4
39,0.0127,7.648,7.9,11204.2
40,0.0113,7.68,7.9,11197.6
41,0.0125,7.502,7.8,11188.2
42,0.0106,7.647,7.6,11189.6
43,0.014,7.835,7.5,11184.1
44,0.0133,7.601,7.3,11182.0
45,0.0134,7.487,7.3,11171.8
46,0.0138,7.303,7.2,11165.6
47,0.0122,7.632,7.1,11157.8
48,0.0133,7.7,7.1,11154.7
49,0.0139,7.469,6.9,11150.8
50,0.0126,7.497,6.9,11139.2
51,0.0134,7.213,6.8,11138.4
52,0.013,7.325,6.8,11127.7
53,0.0124,7.257,6.7,11122.6
54,0.0102,7.341,6.5,11126.9
55,0.0141,7.205,6.5,11114.2
56,0.0138,7.227,6.5,11106.8
57,0.014,7.136,6.4,11099.7
58,0.0146,7.156,6.3,11105.3
59,0.0141,7.066,6.3,11098.3
60,0.0151,7.354,6.1,11102.9
61,0.0117,6.877,6.1,11089.3
62,0.0153,7.067,6.1,11082.8
63,0.0137,7.147,6.0,11083.7
64,0.0115,6.97,6.0,11070.5
65,0.0151,7.129,5.9,11076.3
66,0.015,7.152,5.8,11074.2
67,0.0154,6.827,5.8,11064.8
68,0.0144,6.99,5.8,11061.8
69,0.0153,6.861,5.7,11054.5
70,0.015,6.859,5.6,11052.6
71,0.0142,6.998,5.5,11061.1
72,0.0152,6.961,5.5,11061.4
73,0.015,6.947,5.4,11054.7
74,0.0152,6.812,5.4,11049.0
75,0.012,6.935,5.4,11039.4
76,0.0147,6.828,5.4,11032.7
77,0.0122,6.835,5.4,11023.1
78,0.0158,6.786,5.3,11032.1
79,0.0166,6.647,5.2,11029.7
80,0.0116,6.664,5.1,11026.1
81,0.014,6.553,5.2,11005.9
82,0.0156,6.645,5.1,11019.7
83,0.0148,6.722,5.1,11010.4
84,0.0127,6.653,5.1,11002.5
85,0.0168,6.753,5.0,11005.4
86,0.0157,6.561,5.0,10997.3
87,0.016,6.602,5.0,11000.2
88,0.0134,6.683,5.0,10986.3
89,0.0148,6.473,4.9,10980.2
90,0.0161,6.522,4.9,10987.0
91,0.0165,6.519,4.8,10982.7
92,0.0167,6.509,4.8,10978.0
93,0.0169,6.501,4.8,10979.0
94,0.017,6.476,4.7,10976.6
95,0.0168,6.477,4.7,10972.0
96,0.0174,6.441,4.7,10968.1
97,0.0179,6.428,4.7,10962.5
98,0.0179,6.421,4.7,10959.9
99,0.0173,6.395,4.6,10955.7
100,0.0174,6.406,4.6,10951.6
101,0.0174,6.404,4.6,10950.1
102,0.0175,6.352,4.6,10943.4
103,0.0177,6.346,4.6,10939.4
104,0.0178,6.336,4.5,10935.7
105,0.0176,6.32,4.5,10934.8
106,0.0175,6.315,4.5,10933.9
107,0.0178,6.283,4.4,10929.4
108,0.0179,6.268,4.4,10925.5
109,0.0177,6.299,4.4,10927.6
110,0.0178,6.273,4.4,10924.1
111,0.0176,6.247,4.3,10922.0
112,0.0178,6.286,4.3,10920.7
113,0.0174,6.272,4.3,10922.6
114,0.0174,6.237,4.3,10917.8
115,0.0101,6.273,4.3,10907.7
116,0.0172,6.241,4.2,10916.1
117,0.0169,6.263,4.2,10913.4
118,0.0169,6.237,4.2,10911.0
119,0.0132,6.008,4.2,10895.4
120,0.0173,6.196,4.1,10905.7
