cluster,n,knn_name,knn_lift,inherited_name,inherited_lift,words
13,131715,politics,1.3,religion,1.2,"world, right, valu, year, state"
15,12155,java,1.8,java,1.6,"use, term, tool, applic, method"
12,9209,web,1.3,internet,1.3,"site, know, list, pleas, web"
1,7242,(mixed),,style,1.3,"make, document, substr, frame, parent"
3,5714,web,1.1,web,1.2,"work, fine, licens, great, hard"
5,5697,(mixed),,style,1.5,"comment, post, june, pleas, form"
18,5689,web,1.2,internet,1.1,"new, york, featur, creat, ad"
6,5546,programming,1.6,programming,1.8,"want, code, sourc, write, don"
0,5533,design,2.7,design,1.9,"design, way, web, pattern, best"
8,4991,web,1.1,philosophy,1.3,"time, spend, long, wast, real"
9,4008,web,1.5,java,1.9,"download, version, free, avail, instal"
17,3721,books,1.0,religion,1.4,"video, day, close, favorit, ago"
19,3717,books,2.8,books,1.9,"read, book, articl, continu, stori"
16,3536,reference,2.1,internet,1.4,"inform, skin, import, main, share"
4,2885,education,3.3,education,2.6,"learn, languag, lesson, help, student"
7,2843,programming,1.4,design,1.2,"veri, nice, good, simpl, easi"
11,2780,java,2.0,java,1.6,"edit, releas, version, note, licens"
14,2771,grammar,14.1,grammar,5.7,"word, phrase, mean, english, letter"
2,2581,java,2.8,java,2.2,"support, browser, provid, version, current"
10,955,(mixed),,style,1.2,"script, type, text, document, write"
