k,sil,db,ch,inertia
2,0.0004,2.793,16.1,19840.9
3,0.0019,7.567,10.3,19836.4
4,0.0016,8.486,7.9,19815.3
5,0.0068,6.725,14.2,19705.4
6,0.0076,7.594,12.2,19684.6
7,0.0053,7.201,9.3,19700.8
8,0.0069,6.53,12.6,19574.3
9,0.0082,6.545,12.3,19538.7
10,0.0093,6.653,11.9,19503.0
11,0.0083,6.764,11.6,19468.7
12,0.0086,6.672,10.9,19454.2
13,0.0101,6.53,11.1,19412.2
14,0.0123,6.909,10.5,19410.9
15,0.0128,6.739,10.2,19380.8
16,0.0132,6.74,10.3,19346.5
17,0.0117,6.53,9.9,19324.3
18,0.0147,6.578,9.7,19300.5
19,0.0158,6.511,9.7,19271.5
20,0.0164,6.438,9.5,19249.2
21,0.0156,6.697,9.5,19214.0
22,0.016,6.657,9.3,19192.9
23,0.0197,6.42,9.5,19160.3
24,0.0176,6.577,9.2,19142.4
25,0.0184,6.525,9.1,19115.6
26,0.0184,6.208,9.2,19077.5
27,0.0193,6.105,9.2,19049.5
28,0.0203,5.96,9.2,19021.8
29,0.0209,5.946,9.1,18999.8
30,0.0225,6.139,8.9,18999.2
31,0.0227,6.185,8.7,18987.4
32,0.022,6.062,8.7,18950.3
33,0.0229,6.046,8.7,18924.6
34,0.0233,6.022,8.6,18904.7
35,0.0231,5.993,8.5,18894.4
36,0.0237,5.956,8.4,18869.6
37,0.0241,5.851,8.4,18850.7
38,0.0248,5.774,8.4,18827.1
39,0.0251,5.784,8.3,18811.3
40,0.0251,5.709,8.1,18798.1
