k,sil,db,ch,inertia
2,0.0056,12.162,28.1,11766.8
3,0.0081,10.168,28.1,11702.1
4,0.0084,11.394,24.5,11664.3
5,0.0104,9.878,24.5,11608.6
6,0.0023,8.562,23.7,11561.1
7,-0.0008,8.537,20.2,11553.9
8,0.0026,9.369,19.7,11518.9
9,0.003,8.727,18.8,11489.8
10,0.0033,8.852,17.6,11472.6
11,0.0043,9.077,16.6,11459.5
12,0.0044,8.864,15.6,11445.3
13,0.0047,8.514,14.9,11430.7
14,0.0055,8.604,14.4,11416.8
15,0.0064,8.784,13.8,11401.5
16,0.0074,8.415,13.5,11388.8
17,0.0071,8.708,12.8,11381.1
18,0.0082,8.537,12.6,11363.8
19,0.0084,8.245,12.3,11352.4
20,0.0088,8.218,11.9,11345.2
