k,sil,db,ch,inertia
2,0.006508294492959976,12.618317532806238,27.818707587744115,11767.5
3,0.00852738693356514,10.392522241730136,27.15966982600883,11705.8
4,0.009561297483742237,11.813790988042147,23.148756445794064,11673.2
5,-0.0007538983481936157,9.841438862207578,22.479081898755336,11625.9
6,-0.0025975066237151623,11.106545729215307,19.50502703088324,11609.2
7,-0.0017322616185992956,12.043134002554734,17.259258633760734,11596.6
8,-0.001409650081768632,12.402608746630325,15.712239110613503,11584.1
9,-0.0008144809980876744,12.462622125555454,14.313695032913472,11575.1
10,-0.0005205065826885402,12.98471603761782,13.016108181006754,11570.5
11,-0.001018627779558301,12.512018050962848,12.337881957614439,11557.6
12,-0.0007087533595040441,12.2074145168421,11.804582108731488,11544.0
13,-0.0007796300924383104,12.327187215464228,11.144282573045825,11536.6
14,-9.883070015348494e-05,12.041212513630382,10.81897220501675,11524.5
15,6.96040951879695e-05,12.17023090789106,10.260044026151274,11519.6
16,0.00030393002089112997,12.012416392992268,9.751222572874735,11514.6
17,0.00010464883962413296,11.890717425333344,9.28529767806107,11510.6
18,-0.0001418904575984925,11.840279500494495,8.970740840851619,11502.9
19,-0.00030040592537261546,11.6599195020444,8.694584808294739,11494.9
20,-3.533556446200237e-05,11.54930611389383,8.396625490630354,11489.5
25,-0.000594788696616888,11.166095472187557,7.526887107356294,11445.6
30,-0.0013397381408140063,10.982588895232604,6.624521111903112,11425.3
40,0.0031538966577500105,10.127497495529084,6.272050127984423,11326.4
50,0.003969131037592888,9.641711179097175,5.4391614604381875,11291.9
60,0.003412452759221196,9.115031093084701,4.867257787267408,11259.5
