k,sil,db,ch,inertia
2,0.007276924327015877,15.90444796186382,19.736671416500236,11788.2
3,0.007197230588644743,13.233448182495172,19.117612774861396,11746.4
4,0.007533908821642399,14.878429980212854,16.438645864045608,11723.2
5,-0.000414774171076715,12.28556412180447,16.486992724308294,11685.1
6,-0.0005219064769335091,11.821528152858733,15.247360558472884,11661.2
7,-0.001389974495396018,12.359122620478265,13.14709248784012,11657.9
8,-0.00186557462438941,12.26975935701978,12.817734585009287,11632.8
9,-0.0009190313285216689,11.649637893128952,12.198475579083969,11617.0
10,-0.0001519459328847006,11.876261884170889,11.64943101653985,11599.7
11,1.4948654097679537e-05,11.77536762690164,11.326692808771076,11581.9
12,0.00024104957992676646,11.72555138719713,10.554410333470402,11575.5
13,0.0011656919959932566,11.043388303536913,10.474476767325049,11558.6
14,0.0013353036483749747,10.94913138140746,10.086455011495895,11548.0
15,0.0015996613074094057,10.79827300839924,9.713650168621678,11535.8
16,0.0027601856272667646,10.384859772065731,9.947567701616572,11511.4
17,0.001153636840172112,10.431718597676397,9.11616420075503,11518.8
18,0.0017847772687673569,10.12334728160896,9.082234564084478,11502.6
19,0.0018239673227071762,10.074109075330517,8.931147440324908,11490.7
20,0.0016550348373129964,10.11909535135014,8.725899970594527,11481.2
25,0.002730210544541478,9.345228249511008,7.912811189868915,11427.9
30,0.004353409633040428,9.020203336637671,7.29319168815734,11381.0
40,0.004089392721652985,8.476166663571096,6.494957397928629,11308.5
50,0.004810369107872248,8.150642643759639,5.7031678281220515,11266.0
60,0.006509289611130953,7.787544340333214,5.181288242075946,11217.0
