k,sil,db,ch,inertia
5,0.0015144656645134091,7.331313085013437,19.842207100503455,11653.1
6,0.0004802801995538175,6.748453693964926,18.51076088241542,11622.2
7,0.000721688091289252,6.616989003934949,16.926809289821293,11603.6
8,-6.510877574328333e-05,6.331993013918611,14.806645172631118,11599.7
9,0.0003860853030346334,6.133894957239125,13.616550993106644,11589.2
10,0.00039401440881192684,5.732374995489553,12.613875412057725,11580.1
11,0.0006554516730830073,5.534966189747183,11.860392890480933,11571.7
12,0.0020696946885436773,6.25974905653683,11.862625887371662,11548.1
13,0.0022396522108465433,6.0110270170388045,11.184826935368452,11538.2
14,0.0029895519837737083,6.296546983745012,11.011371962596646,11519.1
15,0.002928995992988348,6.548011353475567,10.496021092487181,11511.8
20,0.0070102219469845295,6.473631087824313,9.806700092160288,11430.0
30,0.008318480104207993,6.758269877597141,7.977090494365162,11338.2
40,0.008096092380583286,6.646270088367865,6.744828546849877,11279.4
